DrainI(1),DrainV(1),GateV(1),DrainI(2),DrainV(2),GateV(2),DrainI(3),DrainV(3),GateV(3),DrainI(4),DrainV(4),GateV(4),DrainI(5),DrainV(5),GateV(5),DrainI(6),DrainV(6),GateV(6),DrainI(7),DrainV(7),GateV(7),DrainI(8),DrainV(8),GateV(8),DrainI(9),DrainV(9),GateV(9),DrainI(10),DrainV(10),GateV(10),DrainI(11),DrainV(11),GateV(11)
1.0997E-9,1.0500E+0,0.0000E+0,-45.5728E-12,1.0500E+0,500.0000E-3,20.6302E-9,1.0500E+0,1.0000E+0,19.1468E-6,1.0500E+0,1.5000E+0,227.6049E-6,1.0500E+0,2.0000E+0,675.9356E-6,1.0500E+0,2.5000E+0,1.3028E-3,1.0500E+0,3.0000E+0,1.9964E-3,1.0500E+0,3.5000E+0,2.6482E-3,1.0500E+0,4.0000E+0,3.2316E-3,1.0500E+0,4.5000E+0,3.7529E-3,1.0500E+0,5.0000E+0
1.0450E-9,1.1000E+0,0.0000E+0,-41.5323E-12,1.1000E+0,500.0000E-3,20.6479E-9,1.1000E+0,1.0000E+0,19.1631E-6,1.1000E+0,1.5000E+0,227.8944E-6,1.1000E+0,2.0000E+0,677.5225E-6,1.1000E+0,2.5000E+0,1.3105E-3,1.1000E+0,3.0000E+0,2.0260E-3,1.1000E+0,3.5000E+0,2.7107E-3,1.1000E+0,4.0000E+0,3.3265E-3,1.1000E+0,4.5000E+0,3.8774E-3,1.1000E+0,5.0000E+0
1.0148E-9,1.1500E+0,0.0000E+0,-41.0272E-12,1.1500E+0,500.0000E-3,20.6635E-9,1.1500E+0,1.0000E+0,19.1833E-6,1.1500E+0,1.5000E+0,228.1640E-6,1.1500E+0,2.0000E+0,678.8943E-6,1.1500E+0,2.5000E+0,1.3169E-3,1.1500E+0,3.0000E+0,2.0512E-3,1.1500E+0,3.5000E+0,2.7674E-3,1.1500E+0,4.0000E+0,3.4157E-3,1.1500E+0,4.5000E+0,3.9965E-3,1.1500E+0,5.0000E+0
1.0348E-9,1.2000E+0,0.0000E+0,-34.2089E-12,1.2000E+0,500.0000E-3,20.6802E-9,1.2000E+0,1.0000E+0,19.2006E-6,1.2000E+0,1.5000E+0,228.4254E-6,1.2000E+0,2.0000E+0,680.1300E-6,1.2000E+0,2.5000E+0,1.3222E-3,1.2000E+0,3.0000E+0,2.0724E-3,1.2000E+0,3.5000E+0,2.8186E-3,1.2000E+0,4.0000E+0,3.4994E-3,1.2000E+0,4.5000E+0,4.1103E-3,1.2000E+0,5.0000E+0
979.1761E-12,1.2500E+0,0.0000E+0,-40.6737E-12,1.2500E+0,500.0000E-3,20.6883E-9,1.2500E+0,1.0000E+0,19.2142E-6,1.2500E+0,1.5000E+0,228.6731E-6,1.2500E+0,2.0000E+0,681.3105E-6,1.2500E+0,2.5000E+0,1.3267E-3,1.2500E+0,3.0000E+0,2.0904E-3,1.2500E+0,3.5000E+0,2.8646E-3,1.2500E+0,4.0000E+0,3.5776E-3,1.2500E+0,4.5000E+0,4.2188E-3,1.2500E+0,5.0000E+0
951.1436E-12,1.3000E+0,0.0000E+0,-38.0474E-12,1.3000E+0,500.0000E-3,20.7111E-9,1.3000E+0,1.0000E+0,19.2331E-6,1.3000E+0,1.5000E+0,228.9150E-6,1.3000E+0,2.0000E+0,682.3987E-6,1.3000E+0,2.5000E+0,1.3306E-3,1.3000E+0,3.0000E+0,2.1055E-3,1.3000E+0,3.5000E+0,2.9056E-3,1.3000E+0,4.0000E+0,3.6503E-3,1.3000E+0,4.5000E+0,4.3221E-3,1.3000E+0,5.0000E+0
946.6988E-12,1.3500E+0,0.0000E+0,-33.4008E-12,1.3500E+0,500.0000E-3,20.7267E-9,1.3500E+0,1.0000E+0,19.2449E-6,1.3500E+0,1.5000E+0,229.1493E-6,1.3500E+0,2.0000E+0,683.3326E-6,1.3500E+0,2.5000E+0,1.3341E-3,1.3500E+0,3.0000E+0,2.1182E-3,1.3500E+0,3.5000E+0,2.9417E-3,1.3500E+0,4.0000E+0,3.7175E-3,1.3500E+0,4.5000E+0,4.4199E-3,1.3500E+0,5.0000E+0
906.1401E-12,1.4000E+0,0.0000E+0,-41.1283E-12,1.4000E+0,500.0000E-3,20.7402E-9,1.4000E+0,1.0000E+0,19.2617E-6,1.4000E+0,1.5000E+0,229.3675E-6,1.4000E+0,2.0000E+0,684.2396E-6,1.4000E+0,2.5000E+0,1.3371E-3,1.4000E+0,3.0000E+0,2.1289E-3,1.4000E+0,3.5000E+0,2.9736E-3,1.4000E+0,4.0000E+0,3.7794E-3,1.4000E+0,4.5000E+0,4.5124E-3,1.4000E+0,5.0000E+0
888.4114E-12,1.4500E+0,0.0000E+0,-35.4716E-12,1.4500E+0,500.0000E-3,20.7528E-9,1.4500E+0,1.0000E+0,19.2775E-6,1.4500E+0,1.5000E+0,229.5792E-6,1.4500E+0,2.0000E+0,685.0991E-6,1.4500E+0,2.5000E+0,1.3398E-3,1.4500E+0,3.0000E+0,2.1380E-3,1.4500E+0,3.5000E+0,3.0013E-3,1.4500E+0,4.0000E+0,3.8361E-3,1.4500E+0,4.5000E+0,4.5995E-3,1.4500E+0,5.0000E+0
888.8660E-12,1.5000E+0,0.0000E+0,-38.1484E-12,1.5000E+0,500.0000E-3,20.7611E-9,1.5000E+0,1.0000E+0,19.2932E-6,1.5000E+0,1.5000E+0,229.7844E-6,1.5000E+0,2.0000E+0,685.9269E-6,1.5000E+0,2.5000E+0,1.3423E-3,1.5000E+0,3.0000E+0,2.1460E-3,1.5000E+0,3.5000E+0,3.0254E-3,1.5000E+0,4.0000E+0,3.8877E-3,1.5000E+0,4.5000E+0,4.6814E-3,1.5000E+0,5.0000E+0
850.3276E-12,1.5500E+0,0.0000E+0,-42.0374E-12,1.5500E+0,500.0000E-3,20.7908E-9,1.5500E+0,1.0000E+0,19.3044E-6,1.5500E+0,1.5000E+0,229.9898E-6,1.5500E+0,2.0000E+0,686.6739E-6,1.5500E+0,2.5000E+0,1.3446E-3,1.5500E+0,3.0000E+0,2.1528E-3,1.5500E+0,3.5000E+0,3.0463E-3,1.5500E+0,4.0000E+0,3.9346E-3,1.5500E+0,4.5000E+0,4.7582E-3,1.5500E+0,5.0000E+0
827.9521E-12,1.6000E+0,0.0000E+0,-46.5829E-12,1.6000E+0,500.0000E-3,20.8033E-9,1.6000E+0,1.0000E+0,19.3227E-6,1.6000E+0,1.5000E+0,230.1806E-6,1.6000E+0,2.0000E+0,687.4229E-6,1.6000E+0,2.5000E+0,1.3468E-3,1.6000E+0,3.0000E+0,2.1589E-3,1.6000E+0,3.5000E+0,3.0645E-3,1.6000E+0,4.0000E+0,3.9768E-3,1.6000E+0,4.5000E+0,4.8298E-3,1.6000E+0,5.0000E+0
825.7297E-12,1.6500E+0,0.0000E+0,-47.2900E-12,1.6500E+0,500.0000E-3,20.8186E-9,1.6500E+0,1.0000E+0,19.3330E-6,1.6500E+0,1.5000E+0,230.3691E-6,1.6500E+0,2.0000E+0,688.1124E-6,1.6500E+0,2.5000E+0,1.3487E-3,1.6500E+0,3.0000E+0,2.1643E-3,1.6500E+0,3.5000E+0,3.0802E-3,1.6500E+0,4.0000E+0,4.0148E-3,1.6500E+0,4.5000E+0,4.8963E-3,1.6500E+0,5.0000E+0
799.3135E-12,1.7000E+0,0.0000E+0,-41.5828E-12,1.7000E+0,500.0000E-3,20.8385E-9,1.7000E+0,1.0000E+0,19.3516E-6,1.7000E+0,1.5000E+0,230.5455E-6,1.7000E+0,2.0000E+0,688.8155E-6,1.7000E+0,2.5000E+0,1.3505E-3,1.7000E+0,3.0000E+0,2.1691E-3,1.7000E+0,3.5000E+0,3.0939E-3,1.7000E+0,4.0000E+0,4.0486E-3,1.7000E+0,4.5000E+0,4.9579E-3,1.7000E+0,5.0000E+0
779.6150E-12,1.7500E+0,0.0000E+0,-46.3304E-12,1.7500E+0,500.0000E-3,20.8615E-9,1.7500E+0,1.0000E+0,19.3617E-6,1.7500E+0,1.5000E+0,230.6986E-6,1.7500E+0,2.0000E+0,689.4616E-6,1.7500E+0,2.5000E+0,1.3522E-3,1.7500E+0,3.0000E+0,2.1734E-3,1.7500E+0,3.5000E+0,3.1058E-3,1.7500E+0,4.0000E+0,4.0786E-3,1.7500E+0,4.5000E+0,5.0122E-3,1.7500E+0,5.0000E+0
768.3010E-12,1.8000E+0,0.0000E+0,-49.5123E-12,1.8000E+0,500.0000E-3,20.8691E-9,1.8000E+0,1.0000E+0,19.3756E-6,1.8000E+0,1.5000E+0,230.9066E-6,1.8000E+0,2.0000E+0,690.1031E-6,1.8000E+0,2.5000E+0,1.3539E-3,1.8000E+0,3.0000E+0,2.1775E-3,1.8000E+0,3.5000E+0,3.1163E-3,1.8000E+0,4.0000E+0,4.1053E-3,1.8000E+0,4.5000E+0,5.0643E-3,1.8000E+0,5.0000E+0
