
Label=dB(v(9)) vs F
LabelX=F
LabelY=dB(v(9))
Data Point Count=1001
F,F,F,dB(v(9)),dB(v(9))
 1.3365955165464423E+000, 1.3365955165464423E+000, 0.0000000000000000E+000, 2.9472881366062431E-001, 0.0000000000000000E+000
 1.3645831365889245E+000, 1.3645831365889245E+000, 0.0000000000000000E+000, 3.0922209826837849E-001, 0.0000000000000000E+000
 1.3931568029453030E+000, 1.3931568029453030E+000, 0.0000000000000000E+000, 3.2411455706846010E-001, 0.0000000000000000E+000
 1.4223287871228196E+000, 1.4223287871228196E+000, 0.0000000000000000E+000, 3.3942713564357430E-001, 0.0000000000000000E+000
 1.4521116175877420E+000, 1.4521116175877420E+000, 0.0000000000000000E+000, 3.5518116310420783E-001, 0.0000000000000000E+000
 1.4825180851459532E+000, 1.4825180851459532E+000, 0.0000000000000000E+000, 3.7139836270613824E-001, 0.0000000000000000E+000
 1.5135612484362078E+000, 1.5135612484362078E+000, 0.0000000000000000E+000, 3.8810086095263074E-001, 0.0000000000000000E+000
 1.5452544395384136E+000, 1.5452544395384136E+000, 0.0000000000000000E+000, 4.0531119565445994E-001, 0.0000000000000000E+000
 1.5776112696993483E+000, 1.5776112696993483E+000, 0.0000000000000000E+000, 4.2305232350104477E-001, 0.0000000000000000E+000
 1.6106456351782701E+000, 1.6106456351782701E+000, 0.0000000000000000E+000, 4.4134762544771716E-001, 0.0000000000000000E+000
 1.6443717232149313E+000, 1.6443717232149313E+000, 0.0000000000000000E+000, 4.6022091218848316E-001, 0.0000000000000000E+000
 1.6788040181225599E+000, 1.6788040181225599E+000, 0.0000000000000000E+000, 4.7969642694151060E-001, 0.0000000000000000E+000
 1.7139573075084249E+000, 1.7139573075084249E+000, 0.0000000000000000E+000, 4.9979884774026229E-001, 0.0000000000000000E+000
 1.7498466886246566E+000, 1.7498466886246566E+000, 0.0000000000000000E+000, 5.2055328749881036E-001, 0.0000000000000000E+000
 1.7864875748520503E+000, 1.7864875748520503E+000, 0.0000000000000000E+000, 5.4198529314500132E-001, 0.0000000000000000E+000
 1.8238957023196376E+000, 1.8238957023196376E+000, 0.0000000000000000E+000, 5.6412084269119911E-001, 0.0000000000000000E+000
 1.8620871366628671E+000, 1.8620871366628671E+000, 0.0000000000000000E+000, 5.8698634028178232E-001, 0.0000000000000000E+000
 1.9010782799232997E+000, 1.9010782799232997E+000, 0.0000000000000000E+000, 6.1060860965168640E-001, 0.0000000000000000E+000
 1.9408858775927778E+000, 1.9408858775927778E+000, 0.0000000000000000E+000, 6.3501488542742013E-001, 0.0000000000000000E+000
 1.9815270258050979E+000, 1.9815270258050979E+000, 0.0000000000000000E+000, 6.6023280271825868E-001, 0.0000000000000000E+000
 2.0230191786782714E+000, 2.0230191786782714E+000, 0.0000000000000000E+000, 6.8629038364996009E-001, 0.0000000000000000E+000
 2.0653801558105291E+000, 2.0653801558105291E+000, 0.0000000000000000E+000, 7.1321602255643091E-001, 0.0000000000000000E+000
 2.1086281499332893E+000, 2.1086281499332893E+000, 0.0000000000000000E+000, 7.4103846835385268E-001, 0.0000000000000000E+000
 2.1527817347243725E+000, 2.1527817347243725E+000, 0.0000000000000000E+000, 7.6978680414121325E-001, 0.0000000000000000E+000
 2.1978598727848246E+000, 2.1978598727848246E+000, 0.0000000000000000E+000, 7.9949042528817871E-001, 0.0000000000000000E+000
 2.2438819237827659E+000, 2.2438819237827659E+000, 0.0000000000000000E+000, 8.3017901414501705E-001, 0.0000000000000000E+000
 2.2908676527677727E+000, 2.2908676527677727E+000, 0.0000000000000000E+000, 8.6188251214194200E-001, 0.0000000000000000E+000
 2.3388372386593543E+000, 2.3388372386593543E+000, 0.0000000000000000E+000, 8.9463108949806069E-001, 0.0000000000000000E+000
 2.3878112829131770E+000, 2.3878112829131770E+000, 0.0000000000000000E+000, 9.2845511260176428E-001, 0.0000000000000000E+000
